               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 158,             0.67814,               0.392,              1.2873,             0.99952,                   1,               0.995,             0.89932,                   0,                   0,                   0,           0.0068914,           0.0068914,           0.0068914
                 159,             0.67715,             0.38553,              1.2675,             0.99971,                   1,               0.995,             0.92027,                   0,                   0,                   0,           0.0068716,           0.0068716,           0.0068716
                 160,             0.64573,             0.37064,              1.2515,              0.9997,                   1,               0.995,             0.89914,                   0,                   0,                   0,           0.0068518,           0.0068518,           0.0068518
                 161,             0.64672,              0.3684,              1.2462,             0.99969,                   1,               0.995,             0.89739,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                 162,             0.67179,             0.38696,              1.2558,              0.9997,                   1,               0.995,             0.89917,                   0,                   0,                   0,           0.0068122,           0.0068122,           0.0068122
                 163,             0.65721,             0.37313,              1.2618,             0.99957,                   1,               0.995,              0.9008,                   0,                   0,                   0,           0.0067924,           0.0067924,           0.0067924
                 164,             0.65275,             0.37312,               1.256,             0.99966,                   1,               0.995,              0.8967,                   0,                   0,                   0,           0.0067726,           0.0067726,           0.0067726
                 165,             0.65741,             0.36911,              1.2488,             0.99956,                   1,               0.995,             0.89287,                   0,                   0,                   0,           0.0067528,           0.0067528,           0.0067528
                 166,             0.65349,             0.37235,              1.2657,             0.99963,                   1,               0.995,             0.87169,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                 167,             0.64611,             0.37326,              1.2752,             0.99951,                   1,               0.995,             0.86852,                   0,                   0,                   0,           0.0067132,           0.0067132,           0.0067132
                 168,             0.65181,             0.37637,              1.2637,             0.99964,                   1,               0.995,             0.89657,                   0,                   0,                   0,           0.0066934,           0.0066934,           0.0066934
                 169,             0.64427,             0.36878,              1.2678,             0.99968,                   1,               0.995,             0.89428,                   0,                   0,                   0,           0.0066736,           0.0066736,           0.0066736
                 170,             0.65502,             0.37383,              1.2482,             0.99963,                   1,               0.995,             0.88268,                   0,                   0,                   0,           0.0066538,           0.0066538,           0.0066538
                 171,              0.6408,              0.3754,              1.2631,             0.99943,                   1,               0.995,             0.89404,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                 172,             0.65615,             0.36675,              1.2576,             0.99965,                   1,               0.995,             0.89736,                   0,                   0,                   0,           0.0066142,           0.0066142,           0.0066142
                 173,             0.62734,             0.35622,              1.2509,             0.99967,                   1,               0.995,             0.89561,                   0,                   0,                   0,           0.0065944,           0.0065944,           0.0065944
                 174,             0.63352,             0.36056,              1.2409,             0.99967,                   1,               0.995,             0.88988,                   0,                   0,                   0,           0.0065746,           0.0065746,           0.0065746
                 175,             0.64105,              0.3581,              1.2496,             0.99969,                   1,               0.995,             0.88359,                   0,                   0,                   0,           0.0065548,           0.0065548,           0.0065548
